playlist_id,playlist_name,followers,snapshot_date
id_0001,playlist 0001,20211,2022-01-24
id_0002,playlist 0002,51455,2022-01-24
id_0003,playlist 0003,6216,2022-01-24
id_0004,playlist 0004,39500,2022-01-24
id_0005,playlist 0005,36438,2022-01-24
id_0006,playlist 0006,29678,2022-01-24
id_0007,playlist 0007,51626,2022-01-24
id_0008,playlist 0008,5570,2022-01-24
id_0009,playlist 0009,17438,2022-01-24
id_0010,playlist 0010,46247,2022-01-24
id_0011,playlist 0011,18226,2022-01-24
id_0012,playlist 0012,4226,2022-01-24
id_0013,playlist 0013,29257,2022-01-24
id_0014,playlist 0014,57938,2022-01-24
id_0015,playlist 0015,51274,2022-01-24
id_0016,playlist 0016,53818,2022-01-24
id_0017,playlist 0017,18017,2022-01-24
id_0018,playlist 0018,19159,2022-01-24
id_0019,playlist 0019,9383,2022-01-24
id_0020,playlist 0020,7931,2022-01-24
id_0021,playlist 0021,16907,2022-01-24
id_0022,playlist 0022,53475,2022-01-24
id_0023,playlist 0023,40956,2022-01-24
id_0024,playlist 0024,27886,2022-01-24
id_0025,playlist 0025,29491,2022-01-24
id_0026,playlist 0026,7752,2022-01-24
id_0027,playlist 0027,31429,2022-01-24
id_0028,playlist 0028,30225,2022-01-24
id_0029,playlist 0029,48549,2022-01-24
id_0030,playlist 0030,15585,2022-01-24
id_0031,playlist 0031,53202,2022-01-24
id_0032,playlist 0032,23666,2022-01-24
id_0033,playlist 0033,3539,2022-01-24
id_0034,playlist 0034,38026,2022-01-24
id_0035,playlist 0035,35193,2022-01-24
id_0036,playlist 0036,55000,2022-01-24
id_0037,playlist 0037,35447,2022-01-24
id_0038,playlist 0038,45711,2022-01-24
id_0039,playlist 0039,14388,2022-01-24
id_0040,playlist 0040,10105,2022-01-24
id_0041,playlist 0041,40044,2022-01-24
id_0042,playlist 0042,29293,2022-01-24
id_0043,playlist 0043,49111,2022-01-24
id_0044,playlist 0044,30581,2022-01-24
id_0045,playlist 0045,46451,2022-01-24
id_0046,playlist 0046,60002,2022-01-24
id_0047,playlist 0047,59155,2022-01-24
id_0048,playlist 0048,5355,2022-01-24
id_0049,playlist 0049,57989,2022-01-24
id_0050,playlist 0050,29439,2022-01-24
