playlist_id,playlist_name,followers,snapshot_date
id_0001,playlist 0001,20957,2022-02-07
id_0002,playlist 0002,52423,2022-02-07
id_0003,playlist 0003,6234,2022-02-07
id_0004,playlist 0004,39024,2022-02-07
id_0005,playlist 0005,35633,2022-02-07
id_0006,playlist 0006,29890,2022-02-07
id_0007,playlist 0007,50513,2022-02-07
id_0008,playlist 0008,5725,2022-02-07
id_0009,playlist 0009,18084,2022-02-07
id_0010,playlist 0010,46063,2022-02-07
id_0011,playlist 0011,18117,2022-02-07
id_0012,playlist 0012,4270,2022-02-07
id_0013,playlist 0013,29133,2022-02-07
id_0014,playlist 0014,59343,2022-02-07
id_0015,playlist 0015,52154,2022-02-07
id_0016,playlist 0016,53850,2022-02-07
id_0017,playlist 0017,18093,2022-02-07
id_0018,playlist 0018,19142,2022-02-07
id_0019,playlist 0019,9381,2022-02-07
id_0020,playlist 0020,7888,2022-02-07
id_0021,playlist 0021,17461,2022-02-07
id_0022,playlist 0022,53377,2022-02-07
id_0023,playlist 0023,41207,2022-02-07
id_0024,playlist 0024,27702,2022-02-07
id_0025,playlist 0025,29352,2022-02-07
id_0026,playlist 0026,7798,2022-02-07
id_0027,playlist 0027,30829,2022-02-07
id_0028,playlist 0028,30070,2022-02-07
id_0029,playlist 0029,48281,2022-02-07
id_0030,playlist 0030,16006,2022-02-07
id_0031,playlist 0031,54321,2022-02-07
id_0032,playlist 0032,24077,2022-02-07
id_0033,playlist 0033,3485,2022-02-07
id_0034,playlist 0034,39734,2022-02-07
id_0035,playlist 0035,34946,2022-02-07
id_0036,playlist 0036,57613,2022-02-07
id_0037,playlist 0037,35645,2022-02-07
id_0038,playlist 0038,45114,2022-02-07
id_0039,playlist 0039,14921,2022-02-07
id_0040,playlist 0040,10456,2022-02-07
id_0041,playlist 0041,41217,2022-02-07
id_0042,playlist 0042,29128,2022-02-07
id_0043,playlist 0043,49932,2022-02-07
id_0044,playlist 0044,31384,2022-02-07
id_0045,playlist 0045,46374,2022-02-07
id_0046,playlist 0046,60296,2022-02-07
id_0047,playlist 0047,60886,2022-02-07
id_0048,playlist 0048,5392,2022-02-07
id_0049,playlist 0049,59472,2022-02-07
id_0050,playlist 0050,29276,2022-02-07
