playlist_id,playlist_name,followers,snapshot_date
id_0001,playlist 0001,20304,2022-01-03
id_0002,playlist 0002,50170,2022-01-03
id_0003,playlist 0003,6076,2022-01-03
id_0004,playlist 0004,37329,2022-01-03
id_0005,playlist 0005,36192,2022-01-03
id_0006,playlist 0006,30108,2022-01-03
id_0007,playlist 0007,50637,2022-01-03
id_0008,playlist 0008,5403,2022-01-03
id_0009,playlist 0009,17160,2022-01-03
id_0010,playlist 0010,46884,2022-01-03
id_0011,playlist 0011,18185,2022-01-03
id_0012,playlist 0012,4078,2022-01-03
id_0013,playlist 0013,27780,2022-01-03
id_0014,playlist 0014,58891,2022-01-03
id_0015,playlist 0015,48263,2022-01-03
id_0016,playlist 0016,53489,2022-01-03
id_0017,playlist 0017,17521,2022-01-03
id_0018,playlist 0018,18416,2022-01-03
id_0019,playlist 0019,9214,2022-01-03
id_0020,playlist 0020,7759,2022-01-03
id_0021,playlist 0021,16896,2022-01-03
id_0022,playlist 0022,53048,2022-01-03
id_0023,playlist 0023,41179,2022-01-03
id_0024,playlist 0024,28819,2022-01-03
id_0025,playlist 0025,28066,2022-01-03
id_0026,playlist 0026,7754,2022-01-03
id_0027,playlist 0027,29847,2022-01-03
id_0028,playlist 0028,30180,2022-01-03
id_0029,playlist 0029,46728,2022-01-03
id_0030,playlist 0030,15140,2022-01-03
id_0031,playlist 0031,52180,2022-01-03
id_0032,playlist 0032,23922,2022-01-03
id_0033,playlist 0033,3625,2022-01-03
id_0034,playlist 0034,38376,2022-01-03
id_0035,playlist 0035,36015,2022-01-03
id_0036,playlist 0036,55267,2022-01-03
id_0037,playlist 0037,33722,2022-01-03
id_0038,playlist 0038,47868,2022-01-03
id_0039,playlist 0039,14313,2022-01-03
id_0040,playlist 0040,10015,2022-01-03
id_0041,playlist 0041,38602,2022-01-03
id_0042,playlist 0042,28369,2022-01-03
id_0043,playlist 0043,47814,2022-01-03
id_0044,playlist 0044,29785,2022-01-03
id_0045,playlist 0045,47655,2022-01-03
id_0046,playlist 0046,60051,2022-01-03
id_0047,playlist 0047,58000,2022-01-03
id_0048,playlist 0048,5279,2022-01-03
id_0049,playlist 0049,58495,2022-01-03
id_0050,playlist 0050,31042,2022-01-03
