playlist_id,playlist_name,followers,snapshot_date
id_0001,playlist 0001,20202,2022-01-10
id_0002,playlist 0002,50568,2022-01-10
id_0003,playlist 0003,6096,2022-01-10
id_0004,playlist 0004,38750,2022-01-10
id_0005,playlist 0005,35949,2022-01-10
id_0006,playlist 0006,30686,2022-01-10
id_0007,playlist 0007,50719,2022-01-10
id_0008,playlist 0008,5405,2022-01-10
id_0009,playlist 0009,17389,2022-01-10
id_0010,playlist 0010,47454,2022-01-10
id_0011,playlist 0011,18523,2022-01-10
id_0012,playlist 0012,4111,2022-01-10
id_0013,playlist 0013,27658,2022-01-10
id_0014,playlist 0014,58672,2022-01-10
id_0015,playlist 0015,48697,2022-01-10
id_0016,playlist 0016,53975,2022-01-10
id_0017,playlist 0017,17884,2022-01-10
id_0018,playlist 0018,18533,2022-01-10
id_0019,playlist 0019,9359,2022-01-10
id_0020,playlist 0020,7912,2022-01-10
id_0021,playlist 0021,16982,2022-01-10
id_0022,playlist 0022,52243,2022-01-10
id_0023,playlist 0023,40766,2022-01-10
id_0024,playlist 0024,28422,2022-01-10
id_0025,playlist 0025,28663,2022-01-10
id_0026,playlist 0026,7719,2022-01-10
id_0027,playlist 0027,30436,2022-01-10
id_0028,playlist 0028,30533,2022-01-10
id_0029,playlist 0029,47945,2022-01-10
id_0030,playlist 0030,15391,2022-01-10
id_0031,playlist 0031,52256,2022-01-10
id_0032,playlist 0032,23979,2022-01-10
id_0033,playlist 0033,3636,2022-01-10
id_0034,playlist 0034,38593,2022-01-10
id_0035,playlist 0035,35880,2022-01-10
id_0036,playlist 0036,55453,2022-01-10
id_0037,playlist 0037,34440,2022-01-10
id_0038,playlist 0038,46963,2022-01-10
id_0039,playlist 0039,14416,2022-01-10
id_0040,playlist 0040,9940,2022-01-10
id_0041,playlist 0041,38873,2022-01-10
id_0042,playlist 0042,28755,2022-01-10
id_0043,playlist 0043,47904,2022-01-10
id_0044,playlist 0044,30129,2022-01-10
id_0045,playlist 0045,47013,2022-01-10
id_0046,playlist 0046,60968,2022-01-10
id_0047,playlist 0047,57815,2022-01-10
id_0048,playlist 0048,5350,2022-01-10
id_0049,playlist 0049,58799,2022-01-10
id_0050,playlist 0050,30144,2022-01-10
